system_code,name,manged_by,category,grades,open_date,address,city,state,zip,principal_name,district_code,pr_overall,progress_grade,performance_grade,env_grade,readiness_grade,2012_grade,2011_grade,2010_grade,,,,,,,,
02M033,P.S. 033 Chelsea Prep,DOE,Elementary,"PK,0K,01,02,03,04,05,SE",Jul 1 1951,281 9 AVENUE,MANHATTAN,NY,10001,LINORE LINDY,2,A,A,A,B,.,C,C,B,,,,,,,,
02M040,P.S. 040 Augustus Saint-Gaudens,DOE,Elementary,"0K,01,02,03,04,05,SE",Jul 1 1899,319 EAST 19 STREET,MANHATTAN,NY,10003,SUSAN FELDER,2,A,A,A,B,.,B,A,B,,,,,,,,
02M041,P.S. 041 Greenwich Village,DOE,Elementary,"PK,0K,01,02,03,04,05,SE",Jul 1 1958,116 WEST 11 STREET,MANHATTAN,NY,10011,KELLY SHANNON,2,A,A,A,B,.,B,A,A,,,,,,,,
02M042,P.S. 042 Benjamin Altman,DOE,Elementary,"PK,0K,01,02,03,04,05,SE",Jul 1 1899,71 HESTER STREET,MANHATTAN,NY,10002,Rosa Casiello O'Day,2,A,B,A,A,.,A,B,A,,,,,,,,
02M047,47 The American Sign Language and English Secondary School,DOE,Secondary School,"09,10,11,12,SE",Jul 1 1908,223 EAST 23 STREET,MANHATTAN,NY,10010,Watfa A. Shama,2,A,A,A,B,.,B,A,A,,,,,,,,
02M051,P.S. 051 Elias Howe,DOE,Elementary,"PK,0K,01,02,03,04,05,SE",Jul 1 1905,525 WEST 44TH STREET,MANHATTAN,NY,10036,NANCY SING BOCK,2,A,B,A,A,.,B,A,B,,,,,,,,
02M059,P.S. 059 Beekman Hill International,DOE,Elementary,"0K,01,02,03,04,05,SE",Jul 1 1960,231-249 EAST 56 STREET,MANHATTAN,NY,10019,ADELE SCHROETER,2,A,A,A,A,.,A,A,A,,,,,,,,
02M077,P.S. 77 Lower Lab School,DOE,Elementary,"0K,01,02,03,04,05",Jul 1 1999,1700 3 AVENUE,MANHATTAN,NY,10128,MARA RATESIC KOETKE,2,A,B,B,A,B,B,C,A,,,,,,,,
02M089,P.S. 89,DOE,Elementary,"PK,0K,01,02,03,04,05,SE",Jul 1 1998,201 WARREN STREET,MANHATTAN,NY,10282,VERONICA NAJJAR,2,A,A,A,A,.,C,B,B,,,,,,,,
02M104,J.H.S. 104 Simon Baruch,DOE,Junior High-Intermediate-Middle,"06,07,08,SE",Jul 1 1956,330 EAST 21 STREET,MANHATTAN,NY,10010,ROSEMARIE GAETANI,2,A,A,A,A,.,B,A,B,,,,,,,,
02M111,P.S. 111 Adolph S. Ochs,DOE,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE",Jul 1 1958,440 WEST 53 STREET,MANHATTAN,NY,10019,IRMA MEDINA,2,A,A,A,A,.,B,A,A,,,,,,,,
02M114,East Side Middle School,DOE,Junior High-Intermediate-Middle,"06,07,08,SE",Jul 1 1999,331 EAST 91ST STREET,MANHATTAN,NY,10128,DAVID GETZ,2,B,C,B,B,.,B,B,B,,,,,,,,
02M116,P.S. 116 Mary Lindley Murray,DOE,Elementary,"0K,01,02,03,04,05,SE",Jul 1 1926,210 EAST 33 STREET,MANHATTAN,NY,10016,JANE HSU,2,A,A,A,B,.,B,B,B,,,,,,,,
02M124,P.S. 124 Yung Wing,DOE,Elementary,"PK,0K,01,02,03,04,05,SE",Jul 1 1976,40 DIVISION STREET,MANHATTAN,NY,10002,ALICE HOM,2,B,A,B,D,.,C,C,B,,,,,,,,
02M126,P.S. 126 Jacob August Riis,DOE,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE",Jul 1 1966,80 CATHERINE STREET,MANHATTAN,NY,10038,JACQUELINE GETZ,2,A,A,A,A,.,A,A,A,,,,,,,,
02M130,P.S. 130 Hernando De Soto,DOE,Elementary,"PK,0K,01,02,03,04,05,SE",Jul 1 1921,143 BAXTER STREET,MANHATTAN,NY,10013,LILY WOO,2,A,A,A,B,.,C,C,B,,,,,,,,
02M131,M.S. 131,DOE,Junior High-Intermediate-Middle,"06,07,08,SE",Jul 1 1983,100 HESTER STREET,MANHATTAN,NY,10002,PHYLLIS TAM,2,A,A,A,C,.,B,A,A,,,,,,,,
02M135,The Urban Assembly School for Emergency Management,DOE,High school,"09,SE",Jul 1 2013,411 PEARL STREET,MANHATTAN,NY,10038,RODOLFO ELIZONDO,2,A,A,A,B,.,A,A,A,,,,,,,,
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,DOE,High school,"09,SE",Jul 1 2013,439 WEST 49TH STREET,MANHATTAN,NY,10019,Larry Gabbard,2,A,A,A,A,.,A,A,A,,,,,,,,
02M150,P.S. 150,DOE,Elementary,"PK,0K,01,02,03,04,05",Jul 1 2000,334 GREENWICH STREET,MANHATTAN,NY,10013,Jennifer Bonnet,2,A,A,A,B,.,A,A,B,,,,,,,,
02M151,Yorkville Community School,DOE,Early Childhood,"0K,01,02,03,04,SE",Jul 1 2009,421 EAST 88 STREET,MANHATTAN,NY,10128,SAMANTHA KAPLAN,2,A,A,A,B,.,C,C,B,,,,,,,,
02M158,P.S. 158 Bayard Taylor,DOE,Elementary,"PK,0K,01,02,03,04,05,SE",Jul 1 1898,1458 YORK AVENUE,MANHATTAN,NY,10075,Darryl Alhadeff,2,C,B,B,C,.,,,,,,,,,,,
02M167,J.H.S. 167 Robert F. Wagner,DOE,Junior High-Intermediate-Middle,"06,07,08,SE",Jul 1 1956,220 EAST 76 STREET,MANHATTAN,NY,10021,JENNIFER REHN,2,A,B,A,C,.,B,B,A,,,,,,,,
02M177,Yorkville East Middle School,DOE,Junior High-Intermediate-Middle,6,Jul 1 2014,1458 YORK AVENUE,MANHATTAN,NY,10075,CHRISTINA RIGGIO,2,A,A,A,B,.,B,A,B,,,,,,,,
